strTemplateName,strNameResource,XJDFDescriptiveName,XJDFMediaType,XJDFWidth,XJDFLength,XJDFDimensionsUnit,numPricePerThousand
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,13,19,in,128.838
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,23,29,in,243.492
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,19,25,in,172.572
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,20,26,in,190.302
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,23,29,in,127.656
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,28,40,in,215.124
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,25,38,in,182.028
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,24,36,in,165.48
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,23,35,in,153.66
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,20,26,in,0
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,19,25,in,91.014
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,13,19,in,62.646
100# Gloss Text,100# Gloss Text,100# Gloss Text,Paper,12,18,in,55.554
,100# Kraft Cover,100# Kraft Cover,Paper,12,18,in,341.9526
100# Natural Cover,100# Natural Cover,100# Natural Cover,Paper,12,18,in,139.1214
100# Natural Cover,100# Natural Cover,100# Natural Cover,Paper,23,35,in,449.16
100# Natural Cover,100# Natural Cover,100# Natural Cover,Paper,17.5,23,in,224.58
100# Natural Linen Cover,100# Natural Linen Cover,100# Natural Linen Cover,Paper,23,35,in,1080.2
100# Natural Linen Cover,100# Natural Linen Cover,100# Natural Linen Cover,Paper,8.5,11,in,124.3
100# Natural Linen Cover,100# Natural Linen Cover,100# Natural Linen Cover,Paper,12,18,in,362.7558
,100# Rolland Enviro Cover,100# Rolland Enviro Cover,Paper,20,26,in,271.86
,100# Royal Sundance Linen Cover,100# Royal Sundance Linen Cover,Paper,35,23,in,770
,100# Satin Text,100# Satin Text,Paper,12,18,in,55.554
100# Silk Cover,100# Silk Cover,100# Silk Cover,Paper,12,18,in,118.2
