strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFMediaType|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFWeight|XJDFMediaColorName|XJDFTexture|XJDFThickness|XJDFThicknessUnit|numPriceTemplateOrResourcePerThousand
||20# HammerMill Fore MP Colors - Green|20# HammerMill Fore MP Colors - Green|{K}|{K}|{K}|{K}|{K}|Green|{K}|{K}|{K}|10.1
||20# HammerMill Fore MP Colors|20# HammerMill Fore MP Colors|Paper|11|17|in|20|Orchid|Bond|0.004|point|22.45
||24# HammerMill Fore MP White|24# HammerMill Fore MP White|Paper|8.5|14|in|15.26|White|Bond|0.004|point|16.9
||20# HammerMill Fore MP White|20# HammerMill Fore MP White|Paper|8.5|14|in|12.72|White|Bond|0.004|point|14.1
||24# Howard Linen Writing|24# Howard Linen Writing|Paper|8.5|11|in|12|Bright White|Linen|0.005|point|30.5
||93# Kromekote C1S Cover|93# Kromekote C1S Cover|Paper|18|12|in|77|White|C1S|0.012|point|169.75
||24# Loop 25% Cotton Lt Cockle Wtg|24# Loop 25% Cotton Lt Cockle Wtg|Paper|8.5|11|in|12|Pure White|Light Cockle|0.005|point|28
||100# Lynx Digital Smooth Cover - Super Smooth|100# Lynx Digital Smooth Cover - Super Smooth|Paper|18|12|in|83.08|White|Super Smooth|0.012|point|125.05
||100# Lynx Digital Smooth Cover - Smooth|100# Lynx Digital Smooth Cover - Smooth|Paper|18|12|in|83.08|White|Smooth|0.014|point|85.15
||80# Mohawk Via Felt iTone Cover|80# Mohawk Via Felt iTone Cover|Paper|18|12|in|66.46|Warm White|Felt|0.011|point|179.55
||80# Mohawk Via Laid Cover|80# Mohawk Via Laid Cover|Paper|8.5|11|in|28.76|Natural|Laid|0.012|point|76.5
||24# Mohawk Via Laid Writing|24# Mohawk Via Laid Writing|Paper|8.5|11|in|12|Natural|Laid|0.005|point|32.8
||70# Mohawk Via Smooth Text|70# Mohawk Via Smooth Text|Paper|8.5|11|in|13.78|Bright White|Smooth|0.005|point|30.5
||24# Mohawk Via Smooth Writing - Bright White|24# Mohawk Via Smooth Writing - Bright White|Paper|8.5|11|in|12|Bright White|Smooth|0.004|point|27.85
||24# Mohawk Via Smooth Writing - Ivory|24# Mohawk Via Smooth Writing - Ivory|Paper|8.5|11|in|12|Ivory|Smooth|0.004|point|29.85
60# Springhill Colors Digital|L|||Paper|8.5|11|in|11.8||Smooth|0.004|point|11.5
||60# Springhill Colors Digital - Blue|60# Springhill Colors Digital - Blue|{L}|{L}|{L}|{L}|{L}|Blue|{L}|{L}|{L}|{L}
||60# Springhill Colors Digital - Canary|60# Springhill Colors Digital - Canary|{L}|{L}|{L}|{L}|{L}|Canary|{L}|{L}|{L}|{L}
||60# Springhill Colors Digital - Ivory|60# Springhill Colors Digital - Ivory|{L}|{L}|{L}|{L}|{L}|Ivory|{L}|{L}|{L}|11.75
||60# Springhill Colors Digital - Pink|60# Springhill Colors Digital - Pink|{L}|{L}|{L}|{L}|{L}|Pink|{L}|{L}|{L}|{L}
||60# Springhill Colors Digital|60# Springhill Colors Digital|Paper|11|17|in|23.63|Blue|Smooth|0.004|point|24.15
||70# Springhill Colors Digital|70# Springhill Colors Digital|Paper|8.5|11|in|13.76|Canary|Smooth|0.005|point|14.45
||90# Springhill Index Color Digital - Blue|90# Springhill Index Color Digital - Blue|Paper|8.5|11|in|21.62|Blue|Smooth|0.007|point|20.7
||110# Springhill Index Color Digital - blue|110# Springhill Index Color Digital - blue|Paper|8.5|11|in|26.44|Blue|Smooth|0.009|point|24.8
||90# Springhill Index Color Digital - Green|90# Springhill Index Color Digital - Green|Paper|8.5|11|in|21.62|Green|Smooth|0.007|point|20.7
110# Springhill Index Color Digital|M|||Paper|8.5|11|in|26.44|||||
||110# Springhill Index Color Digital - Green|110# Springhill Index Color Digital - Green|{M}|{M}|{M}|{M}|{M}|Green|{M}|{M}|{M}|{M}
||110# Springhill Index Color Digital - Gray|110# Springhill Index Color Digital - Gray|{M}|{M}|{M}|{M}|{M}|Gray|{M}|{M}|{M}|{M}
||#90 Springhill Index Color Digital|#90 Springhill Index Color Digital|Paper|8.5|11|in|21.62|Cherry|Smooth|0.007|point|20.7
110# Springhill Index Colors|N|||Paper|11|17|in|52.88||Standard|0.009|point|52
||110# Springhill Index Colors - Green|110# Springhill Index Colors - Green|{N}|{N}|{N}|{N}|{N}|Green|{N}|{N}|{N}|{N}
||110# Springhill Index Colors - Ivory|110# Springhill Index Colors - Ivory|{N}|{N}|{N}|{N}|{N}|Ivory|{N}|{N}|{N}|{N}
||110# Springhill Index Colors - Blue|110# Springhill Index Colors - Blue|{N}|{N}|{N}|{N}|{N}|Blue|{N}|{N}|{N}|{N}
||110# Springhill Index Colors - Canary|110# Springhill Index Colors - Canary|{N}|{N}|{N}|{N}|{N}|Canary|{N}|{N}|{N}|{N}
||90# Springhill Index White Digital|90# Springhill Index White Digital|Paper|8.5|11|in|21.62|White|Smooth|0.007|point|20.7
||90# Springhill Index White Digital|90# Springhill Index White Digital|Paper|9|11|in|22.9|White|Smooth|0.007|point|22.05
||90# Springhill Index White Digital|90# Springhill Index White Digital|Paper|11|17|in|43.27|White|Smooth|0.007|point|40.5
||110# Springhill Index White Digital|110# Springhill Index White Digital|Paper|8.5|11|in|26.44|White|Smooth|0.009|point|22.9
||110# Springhill Index White Digital|110# Springhill Index White Digital|Paper|11|17|in|52.88|White|Smooth|0.009|point|48.15
67# Springhill VB Colors Digital|O|||Paper|11|17|in|39.06||Vellum|0.008|point|43.75
||67# Springhill VB Colors Digital - Blue|67# Springhill VB Colors Digital - Blue|{O}|{O}|{O}|{O}|{O}|Blue|{O}|{O}|{O}|{O}
||67# Springhill VB Colors Digital - Ivory|67# Springhill VB Colors Digital - Ivory|{O}|{O}|{O}|{O}|{O}|Ivory|{O}|{O}|{O}|{O}
||67# Springhill VB White Digital|67# Springhill VB White Digital|Paper|8.5|11|in|19.52|White|Vellum|0.008|point|19.35
||67# Springhill VB White Digital|67# Springhill VB White Digital|Paper|11|17|in|39.06|White|Vellum|0.008|point|40.7
||80# Strathmore Premium Smooth Covr|80# Strathmore Premium Smooth Covr|Paper|8.5|11|in|28.76|Bright White|Smooth|0.011|point|85.1
||24# Strathmore Pure Cotton|24# Strathmore Pure Cotton|Paper|8.5|11|in|12|Bright White|Wove|0.004|point|53.8
||88# Strathmore Writing CB Wove - Bright White|88# Strathmore Writing CB Wove - Bright White|Paper|8.5|11|in|31.5|Bright White|Wove|0.013|point|93.2
||88# Strathmore Writing CB Wove - Natural White|88# Strathmore Writing CB Wove - Natural White|Paper|8.5|11|in|31.5|Natural White|Wove|0.013|point|94.1
||110# Strathmore Writing CB Wove - Ultimate White|110# Strathmore Writing CB Wove - Ultimate White|Paper|8.5|11|in|39.56|Ultimate White|Wove|0.016|point|121.8
||110# Strathmore Writing CB Wove - Bright white|110# Strathmore Writing CB Wove - Bright white|Paper|8.5|11|in|39.56|Bright White|Wove|0.016|point|116.85
